,Admin2,Province_State,Lat,Long_
470,BALNEARIO PINHAL,RIO GRANDE DO SUL,-30.2419,-50.2337
471,BALNEARIO RINCAO,SANTA CATARINA,-28.8314,-49.2352
472,BALSA NOVA,PARANA,-25.5804,-49.6291
473,BALSAMO,SAO PAULO,-20.7348,-49.5865
474,BALSAS,MARANHAO,-7.532139999999999,-46.0372
475,BAMBUI,MINAS GERAIS,-20.0166,-45.9754
476,BANABUIU,CEARA,-5.30454,-38.9132
477,BANANAL,SAO PAULO,-22.6819,-44.3281
478,BANANEIRAS,PARAIBA,-6.74775,-35.6246
479,BANDEIRA,MINAS GERAIS,-15.8783,-40.5622
480,BANDEIRA DO SUL,MINAS GERAIS,-21.7308,-46.3833
481,BANDEIRANTE,SANTA CATARINA,-26.7705,-53.6413
482,BANDEIRANTES,MATO GROSSO DO SUL,-19.9275,-54.3585
483,BANDEIRANTES,PARANA,-23.1078,-50.3704
484,BANDEIRANTES DO TOCANTINS,TOCANTINS,-7.75612,-48.5836
485,BANNACH,PARA,-7.34779,-50.3959
486,BANZAE,BAHIA,-10.5788,-38.6212
487,BARAO,RIO GRANDE DO SUL,-29.3725,-51.4949
488,BARAO DE ANTONINA,SAO PAULO,-23.6284,-49.5634
489,BARAO DE COCAIS,MINAS GERAIS,-19.9389,-43.4755
490,BARAO DE COTEGIPE,RIO GRANDE DO SUL,-27.6208,-52.3798
491,BARAO DE GRAJAU,MARANHAO,-6.74463,-43.0261
492,BARAO DE MELGACO,MATO GROSSO,-16.2067,-55.9623
493,BARAO DE MONTE ALTO,MINAS GERAIS,-21.2444,-42.2372
494,BARAO DO TRIUNFO,RIO GRANDE DO SUL,-30.3891,-51.7384
495,BARAUNA,RIO GRANDE DO NORTE,-5.06977,-37.6129
496,BARAUNA,PARAIBA,-6.63484,-36.2601
497,BARBACENA,MINAS GERAIS,-21.2214,-43.7703
498,BARBALHA,CEARA,-7.2982,-39.3021
499,BARBOSA,SAO PAULO,-21.2657,-49.9518
500,BARBOSA FERRAZ,PARANA,-24.0334,-52.004
501,BARCARENA,PARA,-1.51187,-48.6195
502,BARCELONA,RIO GRANDE DO NORTE,-5.94284,-35.9247
503,BARCELOS,AMAZONAS,-0.9833729999999999,-62.9311
504,BARIRI,SAO PAULO,-22.073,-48.7438
505,BARRA,BAHIA,-11.0859,-43.1459
506,BARRA BONITA,SANTA CATARINA,-26.654,-53.44
507,BARRA BONITA,SAO PAULO,-22.4909,-48.5583
508,BARRA D'ALCANTARA,PIAUI,-6.51645,-42.1146
509,BARRA DA ESTIVA,BAHIA,-13.6237,-41.3347
510,BARRA DE GUABIRABA,PERNAMBUCO,-8.42075,-35.6585
511,BARRA DE SANTA ROSA,PARAIBA,-6.718160000000001,-36.0671
512,BARRA DE SANTANA,PARAIBA,-7.518089999999999,-35.9913
513,BARRA DE SANTO ANTONIO,ALAGOAS,-9.4023,-35.5101
514,BARRA DE SAO FRANCISCO,ESPIRITO SANTO,-18.7548,-40.8965
515,BARRA DE SAO MIGUEL,PARAIBA,-7.74603,-36.3209
